DEPTH (m),O2 (mg/L)
13.6,4.05795081
13.6,4.04101671
13.6,3.92291037
13.6,3.93948417
13.6,4.13029905
13.6,4.0519338
13.6,4.04620503
13.6,4.04022405
13.6,4.02069579
13.6,4.0151832
13.6,4.01813766
13.6,4.01918253
13.6,4.01817369
13.6,4.00920222
13.6,4.00487862
13.6,3.99846528
13.6,3.99349314
13.6,3.99028647
13.6,3.98884527
13.6,3.98592684
13.6,3.9831165
13.6,3.96600225
13.6,3.9643809
13.6,3.96211101
13.6,3.95703078
13.6,3.95641827
13.6,3.95555355
13.6,3.95386014
13.6,3.95418441
13.6,3.95757123
13.6,3.96142644
13.6,3.96398457
13.6,4.2637902
13.6,4.39194891
13.6,4.30605339
13.6,4.28112063
13.6,4.23464193
13.6,3.79302222
13.6,4.23107496
13.6,4.19313537
13.6,3.86432559
13.6,4.21021359
13.6,4.19025297
13.6,4.14809787
13.6,4.13487486
13.6,4.11599514
13.6,4.10529423
13.6,3.89361798
13.6,3.91804632
13.5,4.01583174
13.5,4.04771829
13.5,4.09333227
13.5,4.05867141
13.5,4.04325057
13.5,4.03053198
13.5,4.02728928
13.5,4.00318521
13.5,3.98127897
13.5,3.97173102
13.5,3.9604176
13.5,3.97155087
13.5,3.97609065
13.5,3.98109882
13.5,4.29931578
13.5,2.78969481
13.5,4.42405164
13.5,4.36074693
13.5,4.3189161
13.5,4.25218854
13.5,4.14114408
13.5,4.13786535
13.5,4.12702032
13.5,3.93876357
13.4,3.97677522
13.4,4.03049595
13.4,4.05888759
13.4,4.06486857
13.4,4.06256265
13.4,4.06101336
13.4,4.05928392
13.4,4.05189777
13.4,4.18837941
13.4,4.17710202
13.4,4.1661489
13.4,4.15865466
13.4,4.15501563
13.4,4.10406921
13.4,4.10266404
13.4,4.09916913
13.4,4.09761984
13.4,4.07809158
13.4,4.05456399
13.4,4.04883522
13.4,4.04422338
13.4,4.02476718
13.4,4.01669646
13.4,4.0148229
13.4,4.01496702
13.4,4.01622807
13.4,4.01727294
13.4,4.0205877
13.4,4.01720088
13.4,4.01258904
13.4,4.00808529
13.4,4.00062708
13.4,3.9914034
13.4,3.98603493
13.4,3.97609065
13.4,3.95951685
13.4,4.28202138
13.4,4.33213911
13.4,4.26782556
13.4,4.24999071
13.4,3.89523933
13.4,3.91973973
13.4,3.93198993
13.4,4.23705594
13.4,4.22188731
13.4,4.21666296
13.4,4.19908032
13.4,4.16611287
13.4,4.14107202
13.4,4.12911006
13.4,3.92842296
13.4,3.94805931
13.3,3.99958221
13.3,3.96484929
13.3,3.98819673
13.3,3.99327696
13.3,4.03622472
13.3,4.06483254
13.3,3.98336871
13.3,3.99363726
13.3,4.2050613
13.3,4.15249353
13.3,4.14979128
13.3,4.14647652
13.3,4.13937861
13.3,4.11621132
13.3,4.10540232
13.3,4.07358783
13.3,4.06984071
13.3,4.05708609
13.3,4.03330629
13.3,4.00992282
13.3,2.803134
13.3,4.45233519
13.3,4.21151067
13.3,4.35988221
13.3,4.29996432
13.3,4.28562438
13.2,4.03074816
13.2,4.00098738
13.2,4.00138371
13.2,4.00358154
13.2,4.00920222
13.2,4.01979504
13.2,4.04732196
13.2,4.05207792
13.2,4.06623771
13.2,4.05560886
13.2,3.94795122
13.2,3.95634621
13.2,3.96272352
13.2,4.22440941
13.2,4.21846446
13.2,4.21151067
13.2,4.18156974
13.2,4.17169752
13.2,4.13530722
13.2,4.12637178
13.2,4.11909372
13.2,4.11718413
13.2,4.11487821
13.2,4.11307671
13.2,4.11019431
13.2,4.09091826
13.2,4.08277548
13.2,4.06173396
